authcap,donation
200000000.00,121500000
200000000.00,121500000
200000000.00,121500000
35000000000.00,2000000
25000000000,2000000
80000000,50000
8501000000,2500000
8501000000,10000000
7500000,51000
500000.00,500000
1000000000,67500000
1000000000,67500000
1000000000,67500000
101000000.00,50000
535000000,200000
490000000.00,700000
1500000000,200000
10000000000,20000000
500000000.0,2500000
500000000,4500000
13100000.00,500000
1725000000,100000000
1725000000,6000000
1725000000,40000000
1725000000,40000000
1000000000.0,20000000
846000000,20000000
846000000,35000000
50000000000.00,150000000
50000000000.00,150000000
170000000,111111
250000000,1500000
250000000,2500000
250000000,5000000
300000000,250000
300000000,250000
10000000.0,250000
20000000.00,60000000
20000000.00,60000000
20000000.00,60000000
670500000,3600000
670500000,3600000
670500000,3600000
670500000,3600000
670500000,50000000
670500000,500000
50000000.00,10000000
235000000.00,10000000
235000000.00,15000000
235000000.00,10000000
235000000.00,15000000
235000000.00,10000000
690000000.00,200000
690000000.00,200000
500000000.00,1000000
1750000000,90000000
95000000.00,125000
200000000,100000
200000000,100000
150000000.00,50000
1550000000.00,1100000
100000000.00,100000
250000000.00,2500000
50000000.00,100000
20000000.00,236146
1240000000,1500000
50000000.00,3500000
1350000000,5000000
1000000000.00,15750000
1000000000.00,15750000
1000000000.00,15750000
1000000000.00,15750000
1000000000.00,15750000
1830000000,20000000
1830000000,20000000
80000000.00,2100000
76700000.00,500000
59054480.00,1500000
3512200000,5000000
75000000,9000000
75000000,9000000
800000000,300000
1500000000,5000000
2500000.00,600000
1000000.0,600000
60000000.0,100000
60000000.0,50000
60000000.0,100000
60000000.0,50000
35000000,150000
500000000,600000
30000000.00,250000
500000000.0,10000000
500000000,300000
13000000000.00,1000000
50000000.00,500000
25000000.00,1000000
30000000000,1000000
30000000000,200000
170000000,400000
60000000,6000000
60000000,6000000
60000000,2000000
60000000,1000000
60000000,1000000
200000000.00,2500000
200000000.00,4200000
200000000.00,4200000
180000000.00,1000000
500000000,15000000
500000000,15000000
500000000,15000000
500000000,33000000
500000000,33000000
500000000,33000000
500000000,33000000
2350000000,1000000
2350000000,37500000
2350000000,37500000
2350000000,37500000
2350000000,15750000
2350000000,15750000
2350000000,15750000
47500000.0,100000
400000000,500000
400000000,25000
10000000.00,300000
30000000,25000000
30000000,25000000
30000000,25000000
30000000,25000000
30000000,25000000
50000000.00,100000
150470000000,2500000
500000000.00,300000
500000000.00,2500000
45000000.00,200000
40000000.00,100000
35000000.00,50000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,17150000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,142000000
800000000,500000
832000000,150000
832000000,150000
20000000.00,1001001
1750000000,60000000
1750000000,60000000
1750000000,60000000
243000000.00,200000
180000000.00,30000000
150000000,251000
49500000.00,1250000
49500000.00,1250000
125000000,3750000
250000000.00,500000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
250000000.00,800000
250000000.00,800000
250000000.00,18000000
420000000,200000
1900000000.0,500000
1900000000.0,204000
1900000000.0,204000
345000000.00,200000
